total,hp,attack,defense,sp_attack,sp_defense,speed,generation,legendary,type1_Blastoise,type1_Bug,type1_Dark,type1_Dragon,type1_Electric,type1_Fairy,type1_Fighting,type1_Fire,type1_Flying,type1_Ghost,type1_Graass,type1_Grass,type1_Ground,type1_Ice,type1_Normal,type1_Poison,type1_Psychic,type1_Rock,type1_Steel,type1_Water,type2_Bug,type2_Dark,type2_Dragon,type2_Electric,type2_Fairy,type2_Fighting,type2_Fire,type2_Flying,type2_Ghost,type2_Grass,type2_Ground,type2_Ice,type2_None,type2_Normal,type2_Poison,type2_Psychic,type2_Rock,type2_Steel,type2_Water
0.1505263157894737,0.1732283464566929,0.23783783783783785,0.1795918367346939,0.29891304347826086,0.19565217391304346,0.20512820512820515,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.24210526315789474,0.23228346456692914,0.3081081081081081,0.23673469387755106,0.3804347826086956,0.2608695652173913,0.28205128205128205,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.36842105263157887,0.3110236220472441,0.41621621621621624,0.3183673469387755,0.48913043478260865,0.34782608695652173,0.3846153846153846,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.4736842105263157,0.3110236220472441,0.5135135135135136,0.4816326530612245,0.608695652173913,0.43478260869565216,0.3846153846153846,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.36842105263157887,0.3110236220472441,0.41621621621621624,0.3183673469387755,0.48913043478260865,0.34782608695652173,0.3846153846153846,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.14105263157894735,0.14960629921259844,0.25405405405405407,0.15510204081632656,0.2717391304347826,0.13043478260869565,0.30769230769230765,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.24210526315789474,0.22440944881889763,0.31891891891891894,0.2163265306122449,0.3804347826086956,0.19565217391304346,0.3846153846153846,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.3778947368421053,0.3031496062992126,0.42702702702702705,0.2979591836734694,0.5380434782608695,0.28260869565217395,0.4871794871794871,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.4831578947368421,0.3031496062992126,0.6756756756756757,0.4326530612244898,0.6521739130434783,0.28260869565217395,0.4871794871794871,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4831578947368421,0.3031496062992126,0.5351351351351352,0.2979591836734694,0.8097826086956521,0.41304347826086957,0.4871794871794871,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
